ID,Booking Reference,Passenger Name,Flight No,Seat,Status,Check-in Time,Passport Number
151,BK001,John Smith,Flight 96,12A,Checked In,Not checked in,N/A
152,BK002,Sarah Johnson,Flight 96,12B,Checked In,Not checked in,N/A
153,BK003,Michael Brown,Flight 96,15C,Checked In,Not checked in,N/A
154,BK004,Emily Davis,Flight 96,15D,Checked In,Not checked in,N/A
156,BK006,Lisa Anderson,Flight 97,8A,Checked In,Not checked in,N/A
157,BK007,Robert Taylor,Flight 97,8B,Checked In,Not checked in,N/A
158,BK008,Jennifer Martinez,Flight 97,12C,Checked In,Not checked in,N/A
159,BK009,Christopher Lee,Flight 97,12D,Checked In,Not checked in,N/A
160,BK010,Amanda Garcia,Flight 97,16F,Not Checked In,Not checked in,N/A
161,BK011,Daniel Rodriguez,Flight 98,5A,Checked In,Not checked in,N/A
162,BK012,Jessica Lopez,Flight 98,5B,Checked In,Not checked in,N/A
163,BK013,Matthew White,Flight 98,10C,Checked In,Not checked in,N/A
164,BK014,Nicole Clark,Flight 98,10D,Checked In,Not checked in,N/A
165,BK015,Kevin Hall,Flight 98,14F,Not Checked In,Not checked in,N/A
166,BK016,Sophie Thompson,Flight 101,2A,Checked In,Not checked in,N/A
167,BK017,James Moore,Flight 101,2B,Checked In,Not checked in,N/A
168,BK018,Emma Jackson,Flight 101,8C,Checked In,Not checked in,N/A
169,BK019,William Martin,Flight 101,8D,Checked In,Not checked in,N/A
170,BK020,Olivia Lee,Flight 101,15F,Not Checked In,Not checked in,N/A
171,BK021,Lucas Garcia,Flight 102,3A,Checked In,Not checked in,N/A
172,BK022,Isabella Rodriguez,Flight 102,3B,Checked In,Not checked in,N/A
173,BK023,Ethan Martinez,Flight 102,10C,Checked In,Not checked in,N/A
174,BK024,Mia Johnson,Flight 102,10D,Checked In,Not checked in,N/A
175,BK025,Noah Davis,Flight 102,18F,Not Checked In,Not checked in,N/A
155,BK005,David Wilson,Flight 96,18F,Checked In,Not checked in,N/A
